"filename", "language", "C++", "Dart", "JSON", "YAML", "Markdown", "HTML", "Swift", "XML", "Groovy", "Properties", "comment", "blank", "total"
"c:\Users\USER\projects\health_app\lib\features\auth\screens\login_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 5, 57
"c:\Users\USER\projects\health_app\lib\features\auth\screens\register.dart", "Dart", 0, 124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 133
"c:\Users\USER\projects\health_app\lib\features\auth\screens\register_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 6, 62
"c:\Users\USER\projects\health_app\lib\features\chat\controller\chat_controller.dart", "Dart", 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 61
"c:\Users\USER\projects\health_app\lib\features\chat\repository\chat_repository.dart", "Dart", 0, 190, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18, 211
"c:\Users\USER\projects\health_app\lib\features\chat\screens\chat_screen.dart", "Dart", 0, 144, 0, 0, 0, 0, 0, 0, 0, 0, 49, 10, 203
"c:\Users\USER\projects\health_app\lib\features\chat\widgets\chat_sample.dart", "Dart", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 53
"c:\Users\USER\projects\health_app\lib\features\chat\widgets\receiver_card.dart", "Dart", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27
"c:\Users\USER\projects\health_app\lib\features\chat\widgets\sender_card.dart", "Dart", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 29
"c:\Users\USER\projects\health_app\lib\features\home\controller\home_controller.dart", "Dart", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 16, 9, 48
"c:\Users\USER\projects\health_app\lib\features\home\repository\home_repository.dart", "Dart", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 21, 12, 65
"c:\Users\USER\projects\health_app\lib\features\home\screens\about_us_screen.dart", "Dart", 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 63
"c:\Users\USER\projects\health_app\lib\features\home\screens\all_specialists_screen.dart", "Dart", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 42
"c:\Users\USER\projects\health_app\lib\features\home\screens\dummy_screen.dart", "Dart", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 47
"c:\Users\USER\projects\health_app\lib\features\home\screens\general_screen.dart", "Dart", 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 24, 10, 91
"c:\Users\USER\projects\health_app\lib\features\home\screens\home.dart", "Dart", 0, 262, 0, 0, 0, 0, 0, 0, 0, 0, 90, 11, 363
"c:\Users\USER\projects\health_app\lib\features\home\screens\home_screen.dart", "Dart", 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 8, 9, 88
"c:\Users\USER\projects\health_app\lib\features\home\screens\messages_screen.dart", "Dart", 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 42, 4, 102
"c:\Users\USER\projects\health_app\lib\features\home\screens\notifications_screen.dart", "Dart", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27
"c:\Users\USER\projects\health_app\lib\features\home\screens\privacy_policy_screen.dart", "Dart", 0, 727, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 730
"c:\Users\USER\projects\health_app\lib\features\home\screens\profile_screen.dart", "Dart", 0, 191, 0, 0, 0, 0, 0, 0, 0, 0, 55, 12, 258
"c:\Users\USER\projects\health_app\lib\features\home\screens\schedule_screen.dart", "Dart", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\USER\projects\health_app\lib\features\home\screens\settings.dart", "Dart", 0, 141, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 151
"c:\Users\USER\projects\health_app\lib\features\home\screens\test_api.dart", "Dart", 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 60
"c:\Users\USER\projects\health_app\lib\features\home\widgets\doctors_list.dart", "Dart", 0, 143, 0, 0, 0, 0, 0, 0, 0, 0, 31, 7, 181
"c:\Users\USER\projects\health_app\lib\features\home\widgets\doctors_tile.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 3, 18
"c:\Users\USER\projects\health_app\lib\features\home\widgets\listtile.dart", "Dart", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 31
"c:\Users\USER\projects\health_app\lib\features\home\widgets\specialist_tile.dart", "Dart", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
"c:\Users\USER\projects\health_app\lib\features\home\widgets\text_field.dart", "Dart", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 20
"c:\Users\USER\projects\health_app\lib\features\medicals\controller\medical_controller.dart", "Dart", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 42
"c:\Users\USER\projects\health_app\lib\features\medicals\repository\medical_repository.dart", "Dart", 0, 129, 0, 0, 0, 0, 0, 0, 0, 0, 19, 16, 164
"c:\Users\USER\projects\health_app\lib\features\medicals\screens\medical_card_screen.dart", "Dart", 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 95
"c:\Users\USER\projects\health_app\lib\features\splash_screen\splash_screen.dart", "Dart", 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 105
"c:\Users\USER\projects\health_app\lib\firebase_options.dart", "Dart", 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 12, 6, 84
"c:\Users\USER\projects\health_app\lib\main.dart", "Dart", 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 58
"c:\Users\USER\projects\health_app\lib\models\admin_model.dart", "Dart", 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 116
"c:\Users\USER\projects\health_app\lib\models\chat_display.dart", "Dart", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 36
"c:\Users\USER\projects\health_app\lib\models\doctor.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 16
"c:\Users\USER\projects\health_app\lib\models\medical_model.dart", "Dart", 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 92
"c:\Users\USER\projects\health_app\lib\models\message_model.dart", "Dart", 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 104
"c:\Users\USER\projects\health_app\lib\models\quote.dart", "Dart", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 55, 18, 89
"c:\Users\USER\projects\health_app\lib\models\user_model.dart", "Dart", 0, 96, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 108
"c:\Users\USER\projects\health_app\lib\pallete.dart", "Dart", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
